lon,childrenUrls,url,$type,commonName,children,placeType,lat,additionalProperties,id
-0.09885,[],https://api-argon.tfl.gov.uk/Place/BikePoints_71,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Newgate Street , St. Paul's",[],BikePoint,51.515418,BikePoints_71
-0.10834,[],https://api-argon.tfl.gov.uk/Place/BikePoints_72,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Farringdon Lane, Clerkenwell",[],BikePoint,51.52352,BikePoints_72
-0.088486,[],https://api-argon.tfl.gov.uk/Place/BikePoints_73,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Old Street Station, St. Luke's",[],BikePoint,51.525726,BikePoints_73
-0.124469,[],https://api-argon.tfl.gov.uk/Place/BikePoints_74,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Vauxhall Cross, Vauxhall",[],BikePoint,51.485917,BikePoints_74
-0.10548,[],https://api-argon.tfl.gov.uk/Place/BikePoints_75,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Torrens Street, Angel",[],BikePoint,51.532199,BikePoints_75
-0.144083,[],https://api-argon.tfl.gov.uk/Place/BikePoints_76,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Longford Street, The Regent's Park",[],BikePoint,51.525595,BikePoints_76
-0.124121,[],https://api-argon.tfl.gov.uk/Place/BikePoints_77,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Russell Square Station, Bloomsbury",[],BikePoint,51.523418,BikePoints_77
-0.099489,[],https://api-argon.tfl.gov.uk/Place/BikePoints_78,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Sadlers Sports Centre, Finsbury",[],BikePoint,51.524868,BikePoints_78
-0.141327,[],https://api-argon.tfl.gov.uk/Place/BikePoints_81,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Great Titchfield Street, Fitzrovia",[],BikePoint,51.520253,BikePoints_81
-0.111257,[],https://api-argon.tfl.gov.uk/Place/BikePoints_82,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Chancery Lane, Holborn",[],BikePoint,51.514274,BikePoints_82
